"attribute","fixed_effects","demeaned","abs_difference"
"male",0.00262990412405214,0.00262990412405193,2.06865774510234e-16
"complex_background",-0.0188109540176623,-0.0188109540176661,3.78169717762944e-15
"failed_subjects",0.54624136091093,0.546241360910969,3.88578058618805e-14
"low_competence",0.270741724925897,0.270741724925903,6.27276008913213e-15
"absent",0.0636592124802784,0.0636592124802728,5.63438184997267e-15
"disruptive",0.0455936853726421,0.0455936853726319,1.01654795692241e-14
