"id","edad","nivel","experiencia","female","treatment","politica","raw_repetition_rate","relative_harshness","stage","cutoff_age","years_from_cutoff","bologna_cohort","cutoff_side"
"R_2FLqrGIP3NNtgci",45,"E. Primaria",17,"1","4","1",0.555555555555556,0.0314937156426504,"Primary teachers",34,11,"Pre-Bologna training","Older side"
"R_84dQEQ8De5jSp8k",46,"E. Secundaria",23,"1","5","3",1,0.139566395663957,"Secondary teachers",39,7,"Pre-Bologna training","Older side"
"R_8l4Wpwl6BTbofol",52,"E. Secundaria",24,"0","6","2",0.777777777777778,0.274057727042218,"Secondary teachers",39,13,"Pre-Bologna training","Older side"
"R_2TeEtm0fIk8oCGd",44,"E. Primaria",18,"0","9","1",0.555555555555556,0.0215002806285133,"Primary teachers",34,10,"Pre-Bologna training","Older side"
"R_2ohUYldxWkuDZRc",52,"E. Primaria",26,"1","8","2",0.625,0.171585410908963,"Primary teachers",34,18,"Pre-Bologna training","Older side"
"R_8kir2tftUrTNyRH",49,"E. Primaria",27,"1","4","1",0.444444444444444,-0.0785515020607456,"Primary teachers",34,15,"Pre-Bologna training","Older side"
"R_2lgprcba4qOVM2Z",32,"E. Secundaria",6,"1","3","3",0.571428571428571,0.071994413031805,"Secondary teachers",39,-7,"Bologna-era training","Younger side"
"R_8uKmm7xoC57XoE9",43,"E. Primaria",9,"1","6","2",1,0.139566395663957,"Primary teachers",34,9,"Pre-Bologna training","Older side"
"R_26Q4nGNI4cj5AXL",42,"E. Primaria",19,"1","1","2",0.375,-0.0807991398812625,"Primary teachers",34,8,"Pre-Bologna training","Older side"
"R_8ettTpESztNqA3q",45,"E. Primaria",21,NA,"8","1",0.111111111111111,-0.402814649395205,"Primary teachers",34,11,"Pre-Bologna training","Older side"
"R_824HqVtJJzRnmBz",36,"E. Secundaria",2,"0","1","1",0.5,0.0666930899418553,"Secondary teachers",39,-3,"Bologna-era training","Younger side"
"R_8HuJw4mrTAhKWvr",36,"E. Primaria",12,"1","9","3",0.444444444444444,0.0232351501735528,"Primary teachers",34,2,"Pre-Bologna training","Older side"
"R_2DS0ukXu36YeFo8",56,"E. Primaria",32,"0","1","1",0.428571428571429,0.0199620208977385,"Primary teachers",34,22,"Pre-Bologna training","Older side"
"R_8jNvaGrRRmb0yQt",46,"E. Primaria",13,"1","3","2",0.555555555555556,0.133277124727474,"Primary teachers",34,12,"Pre-Bologna training","Older side"
"R_8y7NfWZz4vTdwfz",44,"E. Primaria",22,"0","7","1",0.5,0.0365059713703541,"Primary teachers",34,10,"Pre-Bologna training","Older side"
"R_2hZ4oTU6fWyNlK1",48,"E. Secundaria",23,"1","9","2",0.666666666666667,0.142960952109887,"Secondary teachers",39,9,"Pre-Bologna training","Older side"
"R_29vlgNvSSIyHbvB",34,"E. Primaria",4,"1","3","2",0.333333333333333,0.0381990601161637,"Primary teachers",34,0,"Bologna-era training","Younger side"
"R_2Ppp5uKPaDF8Qyl",36,"E. Primaria",14,"1","9","2",0.625,0.171586658762654,"Primary teachers",34,2,"Pre-Bologna training","Older side"
"R_8EZ2qZZahTn5A8w",46,"E. Secundaria",23,"1","1","1",0.444444444444444,-0.0899548277306198,"Secondary teachers",39,7,"Pre-Bologna training","Older side"
"R_8rUxarfoXZN8uix",50,"E. Primaria",24,"1","1","3",0.555555555555556,0.04440427520803,"Primary teachers",34,16,"Pre-Bologna training","Older side"
"R_8AYUvDHmJDXZipj",56,"E. Primaria",32,"1","8","1",1,0.139566395663957,"Primary teachers",34,22,"Pre-Bologna training","Older side"
"R_8hS3Ks0ppCQQv61",42,"E. Primaria",18,"1","9","1",1,0.139566395663957,"Primary teachers",34,8,"Pre-Bologna training","Older side"
"R_8HNeD4QDz00C4oC",34,"E. Secundaria",5,"0","8","1",1,0.152313624678663,"Secondary teachers",39,-5,"Bologna-era training","Younger side"
"R_2t5Ue0QzVlYeoN5",50,"E. Secundaria",24,"1","1","3",0.666666666666667,0.161167148945449,"Secondary teachers",39,11,"Pre-Bologna training","Older side"
"R_82g3CkJijeRjM36",44,"E. Secundaria",17,"1","5","3",0.111111111111111,-0.402814649395205,"Secondary teachers",39,5,"Pre-Bologna training","Older side"
"R_8t9VypVVs2hJEwh",58,"E. Secundaria",32,"0","2","3",1,0.152313624678663,"Secondary teachers",39,19,"Pre-Bologna training","Older side"
"R_8EapG1XCp7wQ044",56,"E. Secundaria",29,"0","5","1",0,-0.861111111111111,"Secondary teachers",39,17,"Pre-Bologna training","Older side"
"R_2pWoYrghNpRh4fu",46,"E. Primaria",22,"1","7","3",0.222222222222222,-0.30290006546026,"Primary teachers",34,12,"Pre-Bologna training","Older side"
"R_80Mj7OWACknYqgC",32,"E. Secundaria",2,"1","5","1",0.5,0.0445976855155629,"Secondary teachers",39,-7,"Bologna-era training","Younger side"
"R_2wyhYyRQe3hKzWp",56,"E. Secundaria",23,"0","7","2",0,-0.861111111111111,"Secondary teachers",39,17,"Pre-Bologna training","Older side"
"R_2qlsvXdRr0WerJY",38,"E. Primaria",13,"0","2","2",1,0.139566395663957,"Primary teachers",34,4,"Pre-Bologna training","Older side"
"R_8F5ttMnB88rNB8Z",26,"E. Secundaria",2,"0","5","2",0.75,0.191086895132627,"Secondary teachers",39,-13,"Bologna-era training","Younger side"
