term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
resource_skepticism_x_boy_within,-5.446830873586778e-4,0.004658343135278504,-0.11692635590403182,0.9069281511168337,-0.009679453637345705,0.008590087462628349,2411,20816
resource_skepticism_x_complex_background_within,-0.0010799087359068611,0.004601569597190371,-0.23468269100313782,0.8144749512030165,-0.010103349306825044,0.007943531835011322,2411,20816
resource_skepticism_x_failed_subjects_within,0.027709736839808628,0.007361778375729121,3.764000412069484,1.7120924439499794e-4,0.013273669261862549,0.04214580441775471,2411,20816
resource_skepticism_x_low_competence_within,-0.025829334081540357,0.00618349882743123,-4.177138995637275,3.056989922842139e-5,-0.03795485625635136,-0.013703811906729355,2411,20816
resource_skepticism_x_absent_within,-0.0038052686398735006,0.004556506956968951,-0.8351284604215365,0.403728129304763,-0.012740343698238114,0.005129806418491114,2411,20816
resource_skepticism_x_disruptive_within,-0.001712374617424227,0.005153440981494445,-0.3322779136451187,0.7397083004194634,-0.011818006500215368,0.008393257265366914,2411,20816
