attribute,model,term,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
Male student,Base within-teacher,boy_within,boy_within,0.0026299041240519304,0.004505799474895552,0.5836709198233668,0.5594904169276773,-0.006205255332836255,0.011465063580940116,2704,22124
Male student,With resource skepticism: average beliefs,boy_within,boy_within,0.0017263372115517114,0.004611432395047298,0.37436029928700815,0.7081691968166288,-0.007316443797111737,0.01076911822021516,2411,20816
Male student,Low resource skepticism (-1 SD),boy_within,boy_within at -1 SD resource skepticism,0.002271020298910389,0.006631908651826634,0.342438416772354,0.7320508308944136,-0.010733810406693741,0.015275851004514517,2411,NA
Male student,High resource skepticism (+1 SD),boy_within,boy_within at +1 SD resource skepticism,0.0011816541241930335,0.006476783664289174,0.1824445875362922,0.8552491756602114,-0.01151898448422683,0.013882292732612897,2411,NA
Male student,High minus low resource skepticism,resource_skepticism_x_boy_within,boy_within high-minus-low resource skepticism,-0.0010893661747173556,0.009316686270557008,-0.11692635590403182,0.9069281511168337,-0.01935890727469141,0.017180174925256697,2411,NA
Complex/migrant background,Base within-teacher,complex_background_within,complex_background_within,-0.018810954017666116,0.004400044560787729,-4.275173525583213,1.9760383860195455e-5,-0.027438744830055584,-0.010183163205276648,2704,22124
Complex/migrant background,With resource skepticism: average beliefs,complex_background_within,complex_background_within,-0.01859096050646022,0.004477676107975523,-4.151921679494967,3.4115185271211554e-5,-0.027371452337075428,-0.009810468675845013,2411,20816
Complex/migrant background,Low resource skepticism (-1 SD),complex_background_within,complex_background_within at -1 SD resource skepticism,-0.01751105177055336,0.0063257317216226855,-2.768225486183186,0.005679328700727024,-0.029915485312639982,-0.005106618228466739,2411,NA
Complex/migrant background,High resource skepticism (+1 SD),complex_background_within,complex_background_within at +1 SD resource skepticism,-0.019670869242367082,0.0065140747890625,-3.0197487562463334,0.0025563822173172786,-0.03244463382250326,-0.0068971046622309014,2411,NA
Complex/migrant background,High minus low resource skepticism,resource_skepticism_x_complex_background_within,complex_background_within high-minus-low resource skepticism,-0.0021598174718137223,0.009203139194380741,-0.23468269100313782,0.8144749512030165,-0.020206698613650088,0.015887063670022645,2411,NA
Failed subjects,Base within-teacher,failed_subjects_within,failed_subjects_within,0.5462413609109693,0.007091000936622801,77.03304029898003,0,0.5323370306510307,0.560145691170908,2704,22124
Failed subjects,With resource skepticism: average beliefs,failed_subjects_within,failed_subjects_within,0.5485528486560989,0.007233070885175372,75.83955105159995,0,0.5343691698267122,0.5627365274854855,2411,20816
Failed subjects,Low resource skepticism (-1 SD),failed_subjects_within,failed_subjects_within at -1 SD resource skepticism,0.5208431118162903,0.010284205680921902,50.64495285061244,0,0.5006763150699021,0.5410099085626785,2411,NA
Failed subjects,High resource skepticism (+1 SD),failed_subjects_within,failed_subjects_within at +1 SD resource skepticism,0.5762625854959075,0.0103567033403078,55.641507394840666,0,0.5559536245798413,0.5965715464119736,2411,NA
Failed subjects,High minus low resource skepticism,resource_skepticism_x_failed_subjects_within,failed_subjects_within high-minus-low resource skepticism,0.055419473679617255,0.014723556751458242,3.764000412069484,1.7120924439499794e-4,0.026547338523725098,0.08429160883550942,2411,NA
Low competence,Base within-teacher,low_competence_within,low_competence_within,0.270741724925903,0.0063266297415976785,42.79398921447424,5.2599369669754525e-306,0.2583362055717594,0.28314724428004656,2704,22124
