contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,df,mde_80,equiv_margin,p_lower,p_upper,tost_p,ci90_low,ci90_high,equivalent
Awareness treatment - Revelation treatment,-0.01333869589700546,0.009648436726689911,-1.382472236161056,0.166940918648397,-0.03225775287345418,0.0055803610794432565,2704,0.027040668951543195,0.02,0.24500020360868913,2.790263752452987e-4,0.24500020360868913,-0.02921440104245393,0.002537009248443009,FALSE
Awareness treatment - Revelation treatment,-0.01333869589700546,0.009648436726689911,-1.382472236161056,0.166940918648397,-0.03225775287345418,0.0055803610794432565,2704,0.027040668951543195,0.03,0.0421553271810895,3.6796199922697376e-6,0.0421553271810895,-0.02921440104245393,0.002537009248443009,TRUE
Awareness treatment - Revelation treatment,-0.01333869589700546,0.009648436726689911,-1.382472236161056,0.166940918648397,-0.03225775287345418,0.0055803610794432565,2704,0.027040668951543195,0.05,7.402841042059016e-5,3.114791187711495e-11,7.402841042059016e-5,-0.02921440104245393,0.002537009248443009,TRUE
Policy treatment - Control,-0.001765719327113524,0.013373713341944137,-0.13202909932095505,0.89497109825789,-0.02798945399731397,0.024458015343086923,2704,0.037481113819400426,0.02,0.0864283988134027,0.05187372088387273,0.0864283988134027,-0.023771059231466607,0.02023962057723956,FALSE
Policy treatment - Control,-0.001765719327113524,0.013373713341944137,-0.13202909932095505,0.89497109825789,-0.02798945399731397,0.024458015343086923,2704,0.037481113819400426,0.03,0.01742430871580436,0.008803553305796442,0.01742430871580436,-0.023771059231466607,0.02023962057723956,TRUE
Policy treatment - Control,-0.001765719327113524,0.013373713341944137,-0.13202909932095505,0.89497109825789,-0.02798945399731397,0.024458015343086923,2704,0.037481113819400426,0.05,1.5789579126046505e-4,5.554377321000312e-5,1.5789579126046505e-4,-0.023771059231466607,0.02023962057723956,TRUE
Revelation treatment - Policy treatment,-0.008257957158802004,0.009425819986645228,-0.8760996041195477,0.381053707903363,-0.02674049795049241,0.010224583632888402,2704,0.026416764194623552,0.02,0.10648541766513464,0.0013714713221701395,0.10648541766513464,-0.023767364858819348,0.007251450541215341,FALSE
Revelation treatment - Policy treatment,-0.008257957158802004,0.009425819986645228,-0.8760996041195477,0.381053707903363,-0.02674049795049241,0.010224583632888402,2704,0.026416764194623552,0.03,0.010574867191698978,2.5357177721714025e-5,0.010574867191698978,-0.023767364858819348,0.007251450541215341,TRUE
Revelation treatment - Policy treatment,-0.008257957158802004,0.009425819986645228,-0.8760996041195477,0.381053707903363,-0.02674049795049241,0.010224583632888402,2704,0.026416764194623552,0.05,4.933401522189129e-6,3.673129167403447e-10,4.933401522189129e-6,-0.023767364858819348,0.007251450541215341,TRUE
