term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
policy_alignment_treatedFavorite assigned,0.008511588511930273,0.009544674118763164,0.8917631347096466,0.37261396401408886,-0.01020556077662563,0.027228737800486177,2281,2293
policy_alignment_treatedLeast favorite assigned,0.008018794366387506,0.009776251575511333,0.8202319983738854,0.41216956702867924,-0.011152479366427711,0.027190068099202724,2281,2293
treatment_armRevelation treatment,-0.009010761040895286,0.009616919349235985,-0.9369695963615567,0.3488733888085468,-0.027869583554468655,0.009848061472678082,2281,2293
treatment_armAwareness treatment,-0.0193412822910695,0.009562187021525203,-2.0226839579199627,0.04322220927257093,-0.03809277446146656,-5.897901206724371e-4,2281,2293
favorite_policyPromotion criteria,0.05058791019352593,0.014125900705473534,3.5812166068761915,3.4915023108611373e-4,0.02288695476541889,0.07828886562163298,2281,2293
favorite_policyTraining,-0.040932105022324645,0.0084031598502283,-4.871037294525891,1.1863189757676178e-6,-0.05741073964675156,-0.02445347039789773,2281,2293
