contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,df,mde_80
Policy treatment - Control,0.006221979558126535,0.014478725643202664,0.429732540794954,0.6674244883956961,-0.022168523421332124,0.0346124825375852,2701,0.04057803299397836
Revelation treatment - Policy treatment,-0.013217938382862365,0.01043615640675021,-1.2665523462558372,0.20542461156130246,-0.03368159912630886,0.007245722360584128,2701,0.029248340595654523
Awareness treatment - Revelation treatment,-0.011095520676074538,0.010480207991512986,-1.0587118771936435,0.289825686955353,-0.031645559646395205,0.00945451829424613,2701,0.02937179943478103
