term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
boy_within,0.0017263372115517114,0.004611432395047298,0.37436029928700815,0.7081691968166288,-0.007316443797111737,0.01076911822021516,2411,20816
complex_background_within,-0.01859096050646022,0.004477676107975523,-4.151921679494967,3.4115185271211554e-5,-0.027371452337075428,-0.009810468675845013,2411,20816
failed_subjects_within,0.5485528486560989,0.007233070885175372,75.83955105159995,0,0.5343691698267122,0.5627365274854855,2411,20816
low_competence_within,0.2732169964183953,0.006495803952433376,42.06053606590855,1.981025636926225e-290,0.26047906000624,0.2859549328305506,2411,20816
absent_within,0.06532099804835921,0.004406391795774122,14.824146620598796,1.2013221219264394e-47,0.056680291076193365,0.07396170502052506,2411,20816
disruptive_within,0.045650245784896716,0.004925444357530829,9.268249211890723,4.06579330399466e-20,0.03599170351864899,0.05530878805114444,2411,20816
resource_skepticism_x_boy_within,-5.446830873586778e-4,0.004658343135278504,-0.11692635590403182,0.9069281511168337,-0.009679453637345705,0.008590087462628349,2411,20816
resource_skepticism_x_complex_background_within,-0.0010799087359068611,0.004601569597190371,-0.23468269100313782,0.8144749512030165,-0.010103349306825044,0.007943531835011322,2411,20816
resource_skepticism_x_failed_subjects_within,0.027709736839808628,0.007361778375729121,3.764000412069484,1.7120924439499794e-4,0.013273669261862549,0.04214580441775471,2411,20816
resource_skepticism_x_low_competence_within,-0.025829334081540357,0.00618349882743123,-4.177138995637275,3.056989922842139e-5,-0.03795485625635136,-0.013703811906729355,2411,20816
resource_skepticism_x_absent_within,-0.0038052686398735006,0.004556506956968951,-0.8351284604215365,0.403728129304763,-0.012740343698238114,0.005129806418491114,2411,20816
resource_skepticism_x_disruptive_within,-0.001712374617424227,0.005153440981494445,-0.3322779136451187,0.7397083004194634,-0.011818006500215368,0.008393257265366914,2411,20816
