"time_group","n","mean_total_minutes","median_total_minutes","mean_card_minutes","median_card_minutes","mean_hb"
"Fastest 1.75%",80,0.0916666666666667,0.1,0,0,NA
"Middle 96.5%",4393,34.3025343349268,12.7833333333333,2.11079270050838,1.70168333333333,0.000458853288399785
"Slowest 1.75%",80,4918.00291666667,3119.975,2.06405541666667,1.7103,-0.0274506588837443
