term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
responsibility_index,0.009570293137645557,0.004018208839417886,2.381731144425036,0.017309280415263365,0.0016907598113349628,0.017449826463956153,2391,20646
remediation_skepticism_index,0.012998245818484957,0.004111473283781342,3.1614569574754494,0.001589479634249959,0.004935824960219165,0.02106066667675075,2391,20646
treatment_armPolicy treatment,-0.002055093998105549,0.013324933694736476,-0.1542292100798474,0.8774420277361942,-0.02818471127647614,0.024074523280265037,2391,20646
treatment_armRevelation treatment,-0.0094057841790289,0.013363996151852454,-0.7038152415005833,0.48161637435615257,-0.0356120012422672,0.016800432884209397,2391,20646
treatment_armAwareness treatment,-0.0208763854220227,0.013503043950132165,-1.546050320144175,0.12222475412854931,-0.04735526918932753,0.005602498345282134,2391,20646
favorite_policyPromotion criteria,0.044645632513229,0.012521063752826559,3.565642136687508,3.700877821823623e-4,0.02009236933949379,0.0691988956869642,2391,20646
favorite_policyTraining,-0.03974981619589219,0.008242475808336853,-4.822557823668373,1.5063649074207661e-6,-0.05591295390689974,-0.023586678484884646,2391,20646
grade_levelE. Secundaria,0.020665106117549615,0.008347805489434807,2.4755136117754413,0.013373278232576643,0.0042954214684338896,0.03703479076666534,2391,20646
