contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,df,mde_80,equiv_margin,p_lower,p_upper,tost_p,ci90_low,ci90_high,equivalent
Awareness treatment - Revelation treatment,-0.011095520676074538,0.010480207991512986,-1.0587118771936435,0.289825686955353,-0.031645559646395205,0.00945451829424613,2701,0.02937179943478103,0.02,0.19779828338441052,0.001516451715641705,0.19779828338441052,-0.028339843252164907,0.006148801900015832,FALSE
Awareness treatment - Revelation treatment,-0.011095520676074538,0.010480207991512986,-1.0587118771936435,0.289825686955353,-0.031645559646395205,0.00945451829424613,2701,0.02937179943478103,0.03,0.03568492478835261,4.514131475340775e-5,0.03568492478835261,-0.028339843252164907,0.006148801900015832,TRUE
Awareness treatment - Revelation treatment,-0.011095520676074538,0.010480207991512986,-1.0587118771936435,0.289825686955353,-0.031645559646395205,0.00945451829424613,2701,0.02937179943478103,0.05,1.0481439263321235e-4,3.1076558752918814e-9,1.0481439263321235e-4,-0.028339843252164907,0.006148801900015832,TRUE
Policy treatment - Control,0.006221979558126535,0.014478725643202664,0.429732540794954,0.6674244883956961,-0.022168523421332124,0.0346124825375852,2701,0.04057803299397836,0.02,0.03512056506396699,0.17069137202355328,0.17069137202355328,-0.017601575822099612,0.03004553493835268,FALSE
Policy treatment - Control,0.006221979558126535,0.014478725643202664,0.429732540794954,0.6674244883956961,-0.022168523421332124,0.0346124825375852,2701,0.04057803299397836,0.03,0.006208625884860153,0.050324922227200634,0.050324922227200634,-0.017601575822099612,0.03004553493835268,FALSE
Policy treatment - Control,0.006221979558126535,0.014478725643202664,0.429732540794954,0.6674244883956961,-0.022168523421332124,0.0346124825375852,2701,0.04057803299397836,0.05,5.280812848573735e-5,0.0012606362835416633,0.0012606362835416633,-0.017601575822099612,0.03004553493835268,TRUE
Revelation treatment - Policy treatment,-0.013217938382862365,0.01043615640675021,-1.2665523462558372,0.20542461156130246,-0.03368159912630886,0.007245722360584128,2701,0.029248340595654523,0.02,0.2579183104051428,7.371538663162967e-4,0.2579183104051428,-0.030389777689703454,0.003953900923978723,FALSE
Revelation treatment - Policy treatment,-0.013217938382862365,0.01043615640675021,-1.2665523462558372,0.20542461156130246,-0.03368159912630886,0.007245722360584128,2701,0.029248340595654523,0.03,0.05396844971299197,1.7806512891570386e-5,0.05396844971299197,-0.030389777689703454,0.003953900923978723,FALSE
Revelation treatment - Policy treatment,-0.013217938382862365,0.01043615640675021,-1.2665523462558372,0.20542461156130246,-0.03368159912630886,0.007245722360584128,2701,0.029248340595654523,0.05,2.1567936887345596e-4,7.869452805621598e-10,2.1567936887345596e-4,-0.030389777689703454,0.003953900923978723,TRUE
