term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
treatment_armPolicy treatment,-0.001765719327113524,0.013373713341944137,-0.13202909932095505,0.89497109825789,-0.02798945399731397,0.024458015343086923,2704,22124
treatment_armRevelation treatment,-0.010023676485915529,0.013433273898787523,-0.7461826924276634,0.45562192689925607,-0.03636419997905056,0.01631684700721951,2704,22124
treatment_armAwareness treatment,-0.02336237238292099,0.013529129182235916,-1.7268201129749257,0.084314183427630085,-0.04989085291204272,0.0031661081462007433,2704,22124
