term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
policy_alignment_treatedFavorite assigned,0.007049865082698906,0.009562682174928413,0.737226748075174,0.4610599298026734,-0.01170255030547173,0.02580228047086954,2292,19491
policy_alignment_treatedLeast favorite assigned,0.010823592934818455,0.0096105447686445,1.1262205416420994,0.260190084991916,-0.008022680977822702,0.029669866847459613,2292,19491
treatment_armRevelation treatment,-0.007019169634748206,0.009309270270606912,-0.7539978355672551,0.4509279737643366,-0.02527464439400165,0.011236305124505236,2292,19491
treatment_armAwareness treatment,-0.01963381151181695,0.009435883442940683,-2.0807602839250516,0.03756665724723687,-0.038137574644330555,-0.0011300483793033472,2292,19491
favorite_policyPromotion criteria,0.0539597369555784,0.012674546400702572,4.257330814820112,2.152191970375781e-5,0.02910495723846447,0.07881451667269233,2292,19491
favorite_policyTraining,-0.042057930879356255,0.008499364604199066,-4.948361770311366,8.028079282789788e-7,-0.058725180995785914,-0.0253906807629266,2292,19491
