"stage","edad","cutoff_age","n_teachers","se_raw","se_harshness","raw_repetition_rate","relative_harshness","raw_repetition_rate_pp","relative_harshness_pp","raw_low","raw_high","harshness_low","harshness_high"
"Primary teachers",61,34,8,0.106843902439663,0.0733501376074398,0.333333333333333,-0.15122656180039,33.3333333333333,-15.122656180039,12.3919284551595,54.2747382115072,-29.4992831510972,-0.746029208980756
"Primary teachers",62,34,7,0.0832527916889634,0.0839709568374102,0.21797052154195,-0.22183662706088,21.797052154195,-22.183662706088,5.47950498315817,38.1145993252318,-38.6419702462203,-5.72535516595557
"Primary teachers",64,34,6,0.123793907010379,0.114470467208761,0.407407407407407,-0.0685681673997872,40.7407407407407,-6.85681673997872,16.4771349667064,65.004346514775,-29.293028312896,15.5793948329385
"Secondary teachers",25,39,6,0.0498196335270911,0.0386842967396331,0.555555555555556,0.110629826428502,55.5555555555556,11.0629826428502,45.7909073842457,65.3202037268654,3.48086048188215,18.6451048038183
"Secondary teachers",26,39,11,0.0488132031645471,0.0415030279800996,0.52020202020202,0.0523561870101415,52.020202020202,5.23561870101415,42.4528141999508,61.5875898404532,-2.89897478308536,13.3702121851137
"Secondary teachers",27,39,15,0.0320425416563441,0.0254602007024436,0.581481481481481,0.0997993228754849,58.1481481481482,9.97993228754849,51.8678099835047,64.4284863127916,4.98973294986954,14.9701316252274
"Secondary teachers",28,39,28,0.0355239705702454,0.0259177963069172,0.552862811791383,0.0786565438390224,55.2862811791383,7.86565438390224,48.3235829473702,62.2489794109064,2.78576630774647,12.945542460058
"Secondary teachers",29,39,20,0.0564575516796208,0.063495945585446,0.542956349206349,0.0290672910281632,54.2956349206349,2.90672910281632,43.2299547914292,65.3613150498406,-9.53847623193109,15.3519344375637
"Secondary teachers",30,39,22,0.0443428330887569,0.0393141373235081,0.502525252525252,0.0137891306328396,50.2525252525252,1.37891306328396,41.5613299671289,58.9437205379216,-6.32665785212364,9.08448397869155
"Secondary teachers",31,39,28,0.0263377427741294,0.0207683520806317,0.555484693877551,0.0563101353662852,55.5484693877551,5.63101353662852,50.3862718040257,60.7106669714845,1.5604165288247,9.70161054443234
