term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
strictness_beliefs_index:boy,-0.002097262752667935,0.004749842806501974,-0.4415436127269369,0.6588594222379458,-0.011411498568741373,0.007216973063405502,2391,20646
strictness_beliefs_index:complex_background,-0.0019545618987850074,0.004454843823325008,-0.4387498139780265,0.6608824694664637,-0.010690317498407726,0.006781193700837712,2391,20646
strictness_beliefs_index:failed_subjects,0.034277097214788395,0.0077425921827818985,4.427082869095748,9.980792886562094e-6,0.01909420962124559,0.0494599848083312,2391,20646
strictness_beliefs_index:low_competence,-0.01719936266372184,0.0065339908034782535,-2.632290613963838,0.008535684182989774,-0.0300122353508648,-0.004386489976578882,2391,20646
strictness_beliefs_index:absent,-0.002497305370065389,0.005307499396972135,-0.470523910278741,0.6380236732128981,-0.012905081583079205,0.007910470842948426,2391,20646
strictness_beliefs_index:disruptive,-0.002297407524272076,0.004950718952022521,-0.46405533146524386,0.6426503492045199,-0.012005552752808821,0.007410737704264669,2391,20646
