contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,df,mde_80
Policy treatment - Control,-0.001765719327113524,0.013373713341944137,-0.13202909932095505,0.89497109825789,-0.02798945399731397,0.024458015343086923,2704,0.037481113819400426
Revelation treatment - Policy treatment,-0.008257957158802004,0.009425819986645228,-0.8760996041195477,0.381053707903363,-0.02674049795049241,0.010224583632888402,2704,0.026416764194623552
Awareness treatment - Revelation treatment,-0.01333869589700546,0.009648436726689911,-1.382472236161056,0.166940918648397,-0.03225775287345418,0.0055803610794432565,2704,0.027040668951543195
