term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
boy_within,0.0026299041240519304,0.004505799474895552,0.5836709198233668,0.5594904169276773,-0.006205255332836255,0.011465063580940116,2704,22124
complex_background_within,-0.018810954017666116,0.004400044560787729,-4.275173525583213,1.9760383860195455e-5,-0.027438744830055584,-0.010183163205276648,2704,22124
failed_subjects_within,0.5462413609109693,0.007091000936622801,77.03304029898003,0,0.5323370306510307,0.560145691170908,2704,22124
low_competence_within,0.270741724925903,0.0063266297415976785,42.79398921447424,5.2599369669754525e-306,0.2583362055717594,0.28314724428004656,2704,22124
absent_within,0.06365921248027276,0.004302100829844797,14.797238604602706,1.0654492320736374e-47,0.05522347381878453,0.07209495114176098,2704,22124
disruptive_within,0.045593685372631886,0.00477317740408835,9.55206176363353,2.744071130069491e-21,0.036234240125212445,0.054953130620051326,2704,22124
