term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
responsibility_index,0.009239320495300365,0.0037308693851052506,2.476452414063731,0.013338598672033042,0.001923228691169952,0.016555412299430777,2379,2392
remediation_skepticism_index,0.013103530988663408,0.003868333673149428,3.387383844267779,7.171048478644489e-4,0.005517876986741861,0.020689184990584957,2379,2392
treatment_armPolicy treatment,-0.0019160055846338948,0.013455362838885022,-0.1423971696323772,0.8867783560105911,-0.028301456166252303,0.024469444996984512,2379,2392
treatment_armRevelation treatment,-0.009668100727797113,0.013537793348816957,-0.7141563236110404,0.4752005821600216,-0.03621519437859692,0.01687899292300269,2379,2392
treatment_armAwareness treatment,-0.019789912436462383,0.013559421926039334,-1.4594952900210367,0.14456086196652207,-0.046379418897848204,0.006799594024923437,2379,2392
favorite_policyPromotion criteria,0.043807084454403955,0.013431066370186819,3.2616237048491796,0.0011234123189966837,0.01746927831625545,0.07014489059255247,2379,2392
favorite_policyTraining,-0.038519341473256856,0.008003226886517455,-4.81297631810839,1.5801931134745763e-6,-0.05421336251425203,-0.022825320432261684,2379,2392
grade_levelE. Secundaria,0.02014937481194327,0.00819667205989962,2.458238497855681,0.014032845929421417,0.004076015203594335,0.03622273442029221,2379,2392
