term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
resource_skepticism_index,0.01452905670212777,0.0038269459225793822,3.7965147655745044,1.5038465245472806e-4,0.0070245927583638575,0.02203352064589168,2398,2410
treatment_armPolicy treatment,-4.645207512682353e-4,0.013383808237378609,-0.034707666385335005,0.9723157363703474,-0.0267095496540969,0.02578050815156043,2398,2410
treatment_armRevelation treatment,-0.008841593945049417,0.013472324501806531,-0.6562782795102531,0.5117080567723817,-0.03526019914821637,0.017577011258117538,2398,2410
treatment_armAwareness treatment,-0.018986844766081177,0.013486602448841378,-1.407830091982308,0.1593110041781095,-0.04543344836297557,0.00745975883081321,2398,2410
favorite_policyPromotion criteria,0.0442141263883556,0.013373513511099507,3.306096513205715,9.600002383068202e-4,0.017989284967591054,0.07043896780912014,2398,2410
favorite_policyTraining,-0.03840936289324586,0.007956912097422357,-4.827169437461623,1.4719793367120903e-6,-0.0540124994796543,-0.022806226306837422,2398,2410
grade_levelE. Secundaria,0.02140533435797506,0.008091580261987086,2.645383678455716,0.008213106453283351,0.00553811972975627,0.03727254898619385,2398,2410
