term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
strictness_beliefs_index,0.016370896092754626,0.004098812049470931,3.9940587407192183,6.691288230394217e-5,0.008333303366048957,0.024408488819460297,2391,20646
treatment_armPolicy treatment,-0.0021086484451889676,0.013325640133970454,-0.15823993624242375,0.8742810983803551,-0.028239651020270005,0.024022354129892072,2391,20646
treatment_armRevelation treatment,-0.009289355244024428,0.01337460915517009,-0.6945515294129948,0.4874038786818782,-0.03551638394664622,0.016937673458597365,2391,20646
treatment_armAwareness treatment,-0.02077767915191201,0.013501270592556285,-1.5389425024462113,0.12395065451830976,-0.04725308544189373,0.005697727138069705,2391,20646
favorite_policyPromotion criteria,0.04525922120862922,0.012513428235355895,3.6168522612174474,3.043814485522271e-4,0.020720930953619272,0.06979751146363916,2391,20646
favorite_policyTraining,-0.0398174237616694,0.008235583883323292,-4.834802768787043,1.4173849051243374e-6,-0.05596704670652192,-0.023667800816816877,2391,20646
grade_levelE. Secundaria,0.020976643739185848,0.008301818424566558,2.526752895138278,0.0115762621419551,0.004697137730526518,0.03725614974784518,2391,20646
