term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
resource_skepticism_index,0.014349630689551167,0.004035052774160208,3.5562436212591226,3.834482602944641e-4,0.006437097080818466,0.022262164298283867,2409,20798
treatment_armPolicy treatment,-4.5112575566203493e-4,0.013182509271752338,-0.03422153903799737,0.9727033260686089,-0.026301357090462767,0.025399105579138694,2409,20798
treatment_armRevelation treatment,-0.008544915333469667,0.013246439264600644,-0.6450726238789939,0.5189415508165158,-0.03452051013817533,0.017430679471236,2409,20798
treatment_armAwareness treatment,-0.02001313641575773,0.013347155257474121,-1.4994308547172104,0.1338929264369254,-0.046186230168594036,0.0061599573370785775,2409,20798
favorite_policyPromotion criteria,0.04506986982102897,0.012448948595396319,3.6203756064745924,3.002426839242857e-4,0.020658113725729843,0.0694816259163281,2409,20798
favorite_policyTraining,-0.03971089235648904,0.008195347658710531,-4.845540910553295,1.3429163392949498e-6,-0.05578155299321192,-0.023640231719766154,2409,20798
grade_levelE. Secundaria,0.02192079838885395,0.00822278752159426,2.6658597624329565,0.0077304745733194225,0.005796329574285931,0.03804526720342197,2409,20798
