term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
strictness_beliefs_index,0.016205221988480786,0.003846775267108436,4.212677077094241,2.617591945684059e-5,0.008661844807482567,0.023748599169479002,2380,2392
treatment_armPolicy treatment,-0.001970676720985055,0.013453305441219641,-0.14648271605780167,0.8835527391963853,-0.028352087182371054,0.024410733740400946,2380,2392
treatment_armRevelation treatment,-0.009532616666001702,0.013534558932446645,-0.7043167578330896,0.48130444019698826,-0.03607336207394385,0.01700812874194044,2380,2392
treatment_armAwareness treatment,-0.019674942447761544,0.01355635257149398,-1.451344846926865,0.1468156519522533,-0.04625842433705893,0.006908539441535837,2380,2392
favorite_policyPromotion criteria,0.04452751333572702,0.013367899050799872,3.33092830567588,8.787881052086866e-4,0.01831358149522968,0.07074144517622435,2380,2392
favorite_policyTraining,-0.03859014996084877,0.008001512237894182,-4.82285708170145,1.5045488177547126e-6,-0.054280805285816455,-0.02289949463588109,2380,2392
grade_levelE. Secundaria,0.020503139440770157,0.008175267531995038,2.5079472152474875,0.012209546543730203,0.004471756719584375,0.036534522161955935,2380,2392
